2017-09-07 16:46:37:2686	../../../files/testListWithPickListSize100.txt
InstanceNumber	DistanceMatrixRunningTime	GACycleSwapTotalDistance	GACycleSwapRunningTime	GACycleInversionTotalDistance	GACycleInversionRunningTime	GAOrderedSwapTotalDistance	GAOrderedSwapRunningTime	GAOrderedInversionTotalDistance	GAOrderedInversionRunningTime	GAPMXSwapTotalDistance	GAPMXSwapRunningTime	GAPMXInversionTotalDistance	GAPMXInversionRunningTime	SShapeTravelledTotalDistance	SShapeRunningTime	LargestGapTravelledTotalDistance	LargestGapRunningTime
107	561.915	2188.63999999999	200.546	1355.08	591.24	1729.8	61.02	1706.76	60.185	2238.65999999999	105.279	1450.74	180.492	2026.84	0.001	1706.06	0.002
108	562.542	1860.55999999999	308.868	1760.5	559.371	1927.39999999999	47.96	1681.1	46.92	2084.25999999999	122.396	1783.78	145.373	2148.1	0.001	1876.78	0.002
109	561.3	2435.75999999999	469.459	1855.18	418.636	2288.51999999999	55.145	1600.12	65.543	2397.67999999999	125.013	1751.02	141.109	2258.62	0.001	1865.7	0.002
110	562.956	2130.01999999999	243.39	1489.24	541.311	2218.89999999999	31.089	1447.78	49.473	2091.13999999999	175.39	1456.18	223.806	2291.86	0.001	1877.12	0.002
111	562.868	1892.7	301.579	1658.78	546.187	2031.45999999999	27.095	1661.02	48.421	2314.59999999999	160.216	1943.76	147.21	2153.98	0.001	1767.68	0.002
112	566.497	2462.33999999999	171.04	1626.66	538.919	1822.28	37.35	1765.45999999999	40.038	2383.85999999999	139.343	1817.36	122.241	2109.6	0.001	1645.12	0.002
113	563.406	2033.15999999999	300.617	1367.6	541.67	1878.78	44.872	1302.96	51.783	2218.61999999999	105.602	1521.6	150.966	2142.9	0.001	1854.96	0.002
114	562.322	2080.69999999999	231.851	1832	444.221	2023.78	55.798	1685.36	63.555	2095.17999999999	195.15	1560.36	155.004	2164.72	0.001	1782.94	0.002
115	563.321	2509.17999999999	335.597	1498.22	559.275	2444.97999999999	45.801	1784.42	33.963	2142.97999999999	137.198	1675.5	131.969	2176	0.001	1827.94	0.002
116	562.382	2277.75999999999	321.691	1595.72	445.78	2148.97999999999	25.581	1523.78	57.42	2148.33999999999	105.086	1632.2	139.236	1993.6	0.001	1839.02	0.002
117	562.115	1994.17999999999	219.172	1727.84	586.767	1866.79999999999	43.187	1669.13999999999	46.117	2200.73999999999	148.091	1817.36	165.682	2110	0.001	1717.82	0.002
118	564.616	1770.74	274.755	1354.34	359.362	1909.51999999999	41.587	1507.26	49.015	2226.01999999999	141.565	1648.63999999999	120.038	2275.38	0.001	1638.56	0.002
119	562.475	1950.06	259.908	1496.78	508.315	1609.41999999999	57.798	1605.48	47.376	2285.43999999999	80.466	1438.36	172.137	2155	0.001	1629.52	0.002
120	562.744	2124.85999999999	345.153	1392	452.559	1642.86	65.016	1569.98	43.238	2358.77999999999	83.095	1787.06	184.586	2187.22	0.001	1851.12	0.002
121	562.992	2095.08	233.79	1419.32	544.322	2241.83999999999	62.642	1565.18	47.04	2278.21999999999	80.179	1566.26	192.917	2153.98	0.001	1822.4	0.002
122	563.478	2326.41999999999	312.113	1527.88	528.404	1947.53999999999	47.825	1698	52.038	2673.59999999999	84.701	1731.1	146.305	2038.6	0.001	1794.7	0.002
123	562.405	2041.52	364.22	1604.9	644.613	2310.99999999999	31.467	1606.74	59.771	2399.79999999999	112.097	1728.46	121.374	1983.2	0.001	1761.8	0.002
124	563.557	1828.65999999999	308.613	1608.6	480.389	1725.96	73.021	1490.12	86.47	2119.33999999999	160.084	1191.78	147.946	2159.52	0.001	1795.04	0.002
125	563	2587.25999999998	237.79	1903.13999999999	504.048	2147.37999999999	40.928	1605.52	59.424	2085.05999999999	127.464	1914.7	136.455	2225.86	0.001	1800.92	0.002
126	561.478	2193.29999999999	230.013	2057.27999999999	404.926	2477.91999999999	49.965	1825.82	52.161	2402.87999999999	212.088	1452.88	168.724	2115.34	0.001	1828.62	0.002
127	563.757	2274.01999999999	187.841	1740.36	567.529	1886	32.442	1823.37999999999	61.753	2519.09999999999	119.236	1654.8	130.015	2258.9	0.001	1821.72	0.002
128	563.55	2081.31999999999	316.119	1595.62	450.512	2026.01999999999	32.391	1617.38	60.921	2229.55999999999	110.841	1491.86	160.242	2186.88	0.001	1722.68	0.002
129	563.33	2320.89999999999	385.687	1955.37999999999	545.303	2072.17999999999	46.358	2005.26	58.88	2302.83999999999	163.947	1665.78	171.28	2225.52	0.001	1932.18	0.002
